match_number,group,kickoff,location,home,away,home_power,away_power,base_diff,home_host,home_travel,home_research,home_context,home_eff,home_factors,away_host,away_travel,away_research,away_context,away_eff,away_factors,diff,ctx_swing,pick,base_pick,pick_flipped,home_pct,draw_pct,away_pct,home_cohost,away_cohost
1,A,2026-06-11T19:00:00+00:00,Mexico City Stadium,Mexico,Zuid-Afrika,77,66,11,3,0,0,3,80,cohost_crowd:+1; home_fixture:+1; host_region:+1,0,0,0,0,66,opener_context:-2; style_matchup:+2,14,3,1,1,False,73,16,11,True,False
2,A,2026-06-12T02:00:00+00:00,Guadalajara Stadium,Zuid-Korea,Tsjechië,70,71,-1,0,0,2,2,72,distinctive_spark:-2; style_matchup:+2; matchup_edge:+2,0,0,0,0,71,-,1,2,3,2,True,32,40,28,False,False
3,B,2026-06-12T19:00:00+00:00,Toronto Stadium,Canada,Bosnië-Herzegovina,72,65,7,3,0,-4,-1,71,cohost_crowd:+1; selection_drama:-2; home_fixture:+1; fixture_story:-2; host_region:+1,0,-2,2,0,65,matchup_edge:+2; away_fixture:-2,6,-1,1,1,False,52,22,26,True,False
4,D,2026-06-13T01:00:00+00:00,Los Angeles Stadium,Verenigde Staten,Paraguay,78,72,6,3,0,0,3,81,cohost_crowd:+1; style_matchup:+2; tactical_weakness:-2; host_region:+2,0,-2,2,0,72,style_matchup:+2; away_fixture:-2,9,3,1,1,False,61,19,20,True,False
5,C,2026-06-14T01:00:00+00:00,Boston Stadium,Haïti,Schotland,60,71,-11,0,0,0,0,60,distinctive_spark:-2; style_matchup:+2,0,0,0,0,71,-,-11,0,2,2,False,14,17,69,False,False
6,D,2026-06-14T04:00:00+00:00,BC Place Vancouver,Australië,Turkije,71,76,-5,0,0,-4,-4,67,squad_load:-4; matchup_edge:+2; tactical_weakness:-2,0,0,4,4,80,style_matchup:+2; matchup_edge:+2,-13,-8,2,2,False,12,16,72,False,False
7,C,2026-06-13T22:00:00+00:00,New York/New Jersey Stadium,Brazilië,Marokko,90,81,9,0,0,-6,-6,84,star_dependency:-2; selection_drama:-2; matchup_risk:-2,0,0,0,0,81,crowd_bias:+2; distinctive_spark:-2; style_matchup:+2; fixture_story:-2,3,-6,3,1,True,33,45,22,False,False
8,B,2026-06-13T19:00:00+00:00,San Francisco Bay Area Stadium,Qatar,Zwitserland,66,79,-13,0,0,0,0,66,distinctive_spark:-2; style_matchup:+2,0,0,2,2,81,matchup_edge:+2,-15,-2,2,2,False,9,16,75,False,False
9,E,2026-06-14T23:00:00+00:00,Philadelphia Stadium,Ivoorkust,Ecuador,74,74,0,0,0,-2,-2,72,matchup_risk:-2,0,0,0,0,74,-,-2,-2,3,3,False,24,43,33,False,False
10,E,2026-06-14T17:00:00+00:00,Houston Stadium,Duitsland,Curaçao,86,59,27,0,0,0,0,86,distinctive_spark:-2; matchup_edge:+2,0,0,0,0,59,distinctive_spark:-2; tactical_strength:+2,27,0,1,1,False,76,16,8,False,False
